symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas,Reviews,Sentiment
3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.890277778,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495,11.19047619,Medium,0,1,Exterior: Beautiful Look from front and back but if door handles is also Body color then it is good thing Interior: Interior is look cool and inspired by audi and mg and Lcd location is also attractive drive: Drive is smooth and soft gear is also smooth fuel average is 14/15 km/L within city  Interesting features: 1. Power windows control with key. 2. Back wiper 3. Defogger 4. 4 cylinder engine (EURO 4) 4. Alloy wheels  Great features in less price Preferable Best Car 2021  ,Positive
3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.890277778,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500,11.19047619,Medium,0,1,Good car but style is old and fuel economy is ok. But resell value for auto version is awsome. Why demand is increased suddenly i dont know. Auto car demand is so high as compared to supply that prices for old model 2009 has been at its peak. However as far as i know new shape of city is round the corner and i am expecting that after its lauching demand for old model will decline.,Positive
1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,0.822681403,0.909722222,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,16500,12.36842105,Medium,0,1,Good car but style is old and fuel economy is ok. But resell value for auto version is awsome. Why demand is increased suddenly i dont know. Auto car demand is so high as compared to supply that prices for old model 2009 has been at its peak. However as far as i know new shape of city is round the corner and i am expecting that after its lauching demand for old model will decline.,Positive
2,164,audi,std,four,sedan,fwd,front,99.8,0.848630466,0.919444444,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,9.791666667,Medium,0,1,"After doing a lot of research in the market found out that within 2 million bracket no new Japanese hatchback was available so i opted for picanto. The design is very futuristic and the car is very comfortable to drive Performance is fine keeping in view the 1000cc , gear shifting is like butter fuel average increases after 1000 kms , build quality is awesome please don't compare it with the other kachra cars offered by Pak Suzuki Final decision : GO FOR IT YOU WILL NOT REGRET",Negative
2,164,audi,std,four,sedan,4wd,front,99.4,0.848630466,0.922222222,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,13.05555556,Medium,0,1,Stylish exterior. Body is more stronger than any new local car. Great engine performance for inter cities travel. Nice interior and features. A/c is very good. Parts are available easily for proper maintainance. Alloyrims with great suspion for local roads. Highly recommend this car way better than rebirth and city. Highly demanded car in market and resale value is exceptionally good. Thanks for reading!,Neutral
2,122,audi,std,two,sedan,fwd,front,99.8,0.851994234,0.920833333,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,12.36842105,Medium,0,1,"I used Toyota Platz 2002 for almost 10 years. A good car with safety features. Strong body, parts are easily available, low maintainance, great fuel average 13\14 in city without A/C and 15/16 on highway. Engine power is not great but fine for use in city. A/C is good. large trunk space. A proper family car in reasonable price.",Negative
1,158,audi,std,four,sedan,fwd,front,105.8,0.925997117,0.991666667,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,12.36842105,Medium,0,1,Exterior is very good dynamic shape Interior is quite good Suspension is bit stiffer but very good for handling Ground clearance is very nice One of best feature is its very very fule efficient in 1 tank 35 litres i drove up to 750km Avrg approximately 23kmpl on long And on moterway 19.5 kmpl at 130kmph speed. In city i get 18 kmpl. Its really true. Overall its aa good economical car but just compromise on build quality. Ab itna to chalta ha,Positive
1,122,audi,std,four,wagon,fwd,front,105.8,0.925997117,0.991666667,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,12.36842105,Medium,0,1,"I had this car for 5 years. Its great value for money for people who want to buy car around 10 lac. -> Exterior design is 90s fashioned but has much better aerodynamics as compared to many other cars like Toyota Corolla and other cars available in this price tag. -> Interior space is good for people under 6 feet 3 inch. It comes with standard AC/Heater, most people have replaced standard cd player with the DVD touch screen with 4 speakers. Comfort level is also high. -> If driven under speed limits, its fuel economy in city is 12-14 and on long drive it ranges between 14-17 depending on the driver. -> Ride Quality is 4/5. Sometimes it feels like under-powered(In case of breaking the speed limits or climbing the hills). It under-steers only above speed limits so handling is good. It doesn't have ABS but the standard breaks are pretty well.  Its strongly recommended for people who want to buy car around 10 lac. More ",Positive
1,158,audi,turbo,four,sedan,fwd,front,105.8,0.925997117,0.991666667,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,13.82352941,Medium,0,1,Don't buy Suzuki they have pathetic after sales service even they don't have parts of there cars. My car Suzuki Cultus 2019 model is standing at one of Suzuki showroom for about more than one month due to unavailability of only one part and they are continuously changing the timelines. I called there call center multiple times but noone receives the call. If u want to waste ur money than go for it.,Neutral
2,192,bmw,std,two,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,10.2173913,Low,0,1,Honda BRV s variant 2021 is very good family car with modren 3S dealership in all cities of Pakistan. its exterior looks very good . its all seats are very comfortable .its suspension is very good .push start with two air bags and every practical feature it have already built in . its fuel average in city with Ac is 9 to 12 and at long 14 to 18 according to deriving habits . it have good handling. Ac performance is very good even in very hot days .Due to 6 speed CVT automatic transmission its drive is very smooth .Honda BRV s variant is still value to money enen 3479000 rupee  More ,Neutral
